Index,Permutaion,MAE,MSE,RMSE
96,"(10, 6, 10, 12, 6)",10.4887,173.6617,13.1781
97,"(10, 6, 10, 12, 10)",9.9098,157.5038,12.5501
98,"(10, 6, 10, 12, 12)",9.6541,146.391,12.0992
99,"(10, 6, 12, 6, 6)",11.7293,225.7895,15.0263
100,"(10, 6, 12, 6, 10)",11.1128,191.0075,13.8205
101,"(10, 6, 12, 6, 12)",10.9774,199.1278,14.1113
102,"(10, 6, 12, 10, 6)",10.4135,178.3534,13.3549
103,"(10, 6, 12, 10, 10)",10.2105,169.6541,13.0251
104,"(10, 6, 12, 10, 12)",10.1353,161.2632,12.6989
105,"(10, 6, 12, 12, 6)",10.1429,165.8722,12.8791
106,"(10, 6, 12, 12, 10)",10.2105,161.7895,12.7196
107,"(10, 6, 12, 12, 12)",9.9398,152.2556,12.3392
108,"(10, 10, 6, 6, 6)",11.9624,232.9248,15.2619
109,"(10, 10, 6, 6, 10)",11.4436,203.3835,14.2613
110,"(10, 10, 6, 6, 12)",11.1128,188.6466,13.7349
111,"(10, 10, 6, 10, 6)",10.9098,201.0602,14.1796
112,"(10, 10, 6, 10, 10)",10.797,192.3609,13.8694
113,"(10, 10, 6, 10, 12)",10.2105,155.6842,12.4773
114,"(10, 10, 6, 12, 6)",10.0075,157.3459,12.5438
